title,subtitle,color,supplier_color,size,supplier,supplier_order_id,order_date,cost,supplier_shipping_cost,status
Naked & Famous,Work Shirt,Green,Green Rinsed Oxford,XL,Naked & Famous,52130049-1,43881,58,2.192142857,available
Naked & Famous,Work Shirt,Green,Green Rinsed Oxford,L,Naked & Famous,52130049-1,43881,58,2.192142857,available
Naked & Famous,Work Shirt,Green,Green Rinsed Oxford,M,Naked & Famous,52130049-1,43881,58,2.192142857,available
Naked & Famous,Work Shirt,Green,Green Rinsed Oxford,S,Naked & Famous,52130049-1,43881,58,2.192142857,available
Naked & Famous,Hunter Heavyweight Terry,Green,Hunter Green,XL,Naked & Famous,52130049-1,43881,54,2.192142857,available
Naked & Famous,Hunter Heavyweight Terry,Green,Hunter Green,L,Naked & Famous,52130049-1,43881,54,2.192142857,available
Naked & Famous,Hunter Heavyweight Terry,Green,Hunter Green,M,Naked & Famous,52130049-1,43881,54,2.192142857,available
Naked & Famous,Denim Jacket,Denim,Natural Indigo Selvidge,M,Naked & Famous,52130049-1,43881,94,2.192142857,available
Naked & Famous,Denim Jacket,Denim,Natural Indigo Selvidge,L,Naked & Famous,52130049-1,43881,94,2.192142857,available
Naked & Famous,Denim Jacket,Denim,Solid Black Selvedge,M,Naked & Famous,52130049-1,43881,84,2.192142857,available
Naked & Famous,Denim Jacket,Denim,Solid Black Selvedge,L,Naked & Famous,52130049-1,43881,84,2.192142857,available
Naked & Famous,Denim Jacket,Denim,Solid Black Selvedge,M,Naked & Famous,52130049-1,43881,84,2.192142857,available
Naked & Famous,Denim Jacket,Denim,Solid Black Selvedge,L,Naked & Famous,52130049-1,43881,84,2.192142857,available
Naked & Famous,Denim Jacket,Denim,Solid Black Selvedge,XL,Naked & Famous,52130049-1,43881,84,2.192142857,available
Club Fantasy,Wavy Tee,Black,Black,S,Club Fantasy,0,43905,25,0,available
Club Fantasy,Wavy Tee,Black,Black,M,Club Fantasy,0,43905,25,0,available
Club Fantasy,Wavy Tee,Black,Black,L,Club Fantasy,0,43905,25,0,available
Club Fantasy,Wavy Tee,Black,Black,XL,Club Fantasy,0,43905,25,0,available
