title,subtitle,color,supplier_color,size,supplier,supplier_order_id,order_date,cost,supplier_shipping_cost,status
Gucci,Embroidered Satin Shirt,Red,Red,M,Vintage,0,44075,0,0,available
Supreme,Piping Track Jacket,Blue,Teal,L,Vintage,0,44075,130,0,available
Supreme,S Logo Track Jacket,Yellow,Yellow,L,Vintage,0,44075,120,0,available
Dolce & Gabbana,Floral Print Polo Shirt,Black,Black,S,Vintage,0,44075,0,0,available
Vintage Label,Madonna Everybody is a Star Tee,Black,Black,L,Vintage,0,44075,55,0,available
Vintage Label,Brushed City Print Shirt,White,White & Black,XL,Vintage,0,44075,55,0,available
Palace,Reflective Jacket,Grey,Graphite & Silver,XL,Vintage,0,44075,130,0,available
Enfants Riches Déprimés,Hotel du Cap Hoodie,Black,Black,M,Vintage,0,44075,0,0,available
