title,subtitle,color,supplier_color,category,sub_category,meta_category,image_remote_url
TOMBOGO,Bubble Wrap Utility Vest,Black,Black,Tops,Vests,Utility Vest,
TOMBOGO,ID Beanie,Grey,Grey,Accessories,Hats,Beanie,
TOMBOGO,ID Beanie,Red,Maroon,Accessories,Hats,Beanie,
TOMBOGO,Asymmetrical Backpack - EXCLUSIVE,Green,Olive,Accessories,Backpacks,Backpack,
TOMBOGO,Asymmetrical Backpack - EXCLUSIVE,Beige,Khaki,Accessories,Backpacks,Backpack,
TOMBOGO,Mini Backpack - EXCLUSIVE,Green,Camo,Accessories,Backpacks,Backpack,
TOMBOGO,Mini Backpack,Black,Black,Accessories,Backpacks,Backpack,
