title,subtitle,color,supplier_color,category,sub_category,meta_category,image_remote_url
424,Box Logo Shorts,Black,Black,Bottoms,Shorts,Logo Shorts,
424,I Love Los Angeles T-Shirt,Black,Black,Tops,T-Shirts,Graphic T-Shirt,
424,Blazer Print T-Shirt,Beige,Beige Multi,Tops,T-Shirts,Print T-Shirt,
424,Box Logo Hoodie,Black,Black,Sweaters,Hoodies,Logo Hoodie,
424,Box Logo Crewneck,Black,Black,Sweaters,Crewnecks,Logo Crewneck Sweater,
