hidden,title,subtitle,color,supplier_color,category,sub_category,meta_category,image_remote_url,description
true,Kith,Quilted Colorblock Hoodie,Beige,Black Multi,Sweaters,Hoodies,Colorblock Pullover Hoodie,https://cdn.shopify.com/s/files/1/0094/2252/products/KH2399-100_059.progressive.jpg?v=1589222740,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
true,Kith,Quilted Colorblock Hoodie,Beige,Tan Multi,Sweaters,Hoodies,Colorblock Pullover Hoodie,https://cdn.shopify.com/s/files/1/0094/2252/products/KH2399-104_056.progressive.jpg?v=1589222746,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
true,Kith,Denim Eldridge 2.0,Denim,Light Blue Denim,Bottoms,Trousers,Denim Trouser,https://cdn.shopify.com/s/files/1/0094/2252/products/KH6289-109_051.progressive.jpg?v=1589222748,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
true,Kith,Mercer 6 Ripstop Nylon Pants,Beige,Travertine,Bottoms,Trousers,Nylon Sweatpant,https://cdn.shopify.com/s/files/1/0094/2252/products/KH6317-104_144.progressive.jpg?v=1589222585,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
true,Kith,Bleecker Crystal Wash Fleece Sweatpant,Navy,Obsidian / Navy,Bottoms,Sweatpants,Sweatpant,https://cdn.shopify.com/s/files/1/0094/2252/products/KH6315-102_128.progressive.jpg?v=1589222582,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
true,Kith,Williams III Crystal Wash Fleece Hoodie,Navy,Obsidian / Navy,Sweaters,Hoodies,Solid Pullover Hoodie,https://cdn.shopify.com/s/files/1/0094/2252/products/KH2429-102_074.progressive.jpg?v=1589222573,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
true,Kith,Lax Pigment Dyed Longsleeve Tee,Blue,Light Indigo,Tops,Longsleeves,Logo Longsleeve T-Shirt,https://cdn.shopify.com/s/files/1/0094/2252/products/KH3672-109_117.progressive.jpg?v=1589222578,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
true,Kith,Lax Pigment Dyed Longsleeve Tee,Blue,Medium Indigo,Tops,Longsleeves,Logo Longsleeve T-Shirt,https://cdn.shopify.com/s/files/1/0094/2252/products/KH3672-209_104.progressive.jpg?v=1589222578,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
true,Kith,Lax Pigment Dyed Longsleeve Tee,Navy,Dark Indigo,Tops,Longsleeves,Logo Longsleeve T-Shirt,https://cdn.shopify.com/s/files/1/0094/2252/products/KH3672-309_113.progressive.jpg?v=1589222579,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
true,Kith,Military Crispy Nylon Work Shirt,Navy,Ebony,Tops,Button-Downs,Zip-Up Shirt,https://cdn.shopify.com/s/files/1/0094/2252/products/KH3670-102_032.progressive.jpg?v=1589222576,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
