title,subtitle,color,supplier_color,size,supplier,supplier_order_id,order_date,cost,supplier_shipping_cost,status
TOMBOGO,Bubble Wrap Utility Vest,Black,Black,S,TOMBOGO,TR0001,44039,350,0,available
TOMBOGO,Bubble Wrap Utility Vest,Black,Black,M,TOMBOGO,TR0001,44039,350,0,available
TOMBOGO,Bubble Wrap Utility Vest,Black,Black,L,TOMBOGO,TR0001,44039,350,0,available
TOMBOGO,Bubble Wrap Utility Vest,Black,Black,XL,TOMBOGO,TR0001,44039,350,0,available
TOMBOGO,ID Beanie,Grey,Grey,M,TOMBOGO,TR0001,44039,40,0,available
TOMBOGO,ID Beanie,Grey,Grey,M,TOMBOGO,TR0001,44039,40,0,available
TOMBOGO,ID Beanie,Red,Maroon,M,TOMBOGO,TR0001,44039,40,0,available
TOMBOGO,Asymmetrical Backpack - EXCLUSIVE,Green,Olive,M,TOMBOGO,TR0001,44039,180,0,available
TOMBOGO,Asymmetrical Backpack - EXCLUSIVE,Beige,Khaki,M,TOMBOGO,TR0001,44039,180,0,available
TOMBOGO,Mini Backpack - EXCLUSIVE,Green,Camo,M,TOMBOGO,TR0001,44039,200,0,available
TOMBOGO,Mini Backpack,Black,Black,M,TOMBOGO,TR0001,44039,200,0,available
