title,subtitle,color,supplier_color,category,sub_category,meta_category,image_remote_url
Rhude,Cowboy Hawaiian Shirt,White,White - Multi,Tops,Button-Downs,Print Summer Shirt,
Rhude,Nylon Pants,Black,Black & Green,Bottoms,Track Pants,Track Pants,
Rhude,Sweetwater Tee,Black,Black,Tops,T-Shirts,Graphic T-Shirt,
Rhude,Cowboy Shark Tee,Black,Black,Tops,T-Shirts,Graphic T-Shirt,
Rhude,Girl Compass Tee,Black,Black,Tops,T-Shirts,Graphic T-Shirt,
