title,subtitle,color,supplier_color,size,supplier,supplier_order_id,order_date,cost,supplier_shipping_cost,status
Opening Ceremony,Zip Off Wind Jacket,Blue,Blue Multi,S,Opening Ceremony,619737,1/23/2020,53.40,0.68,available 
Opening Ceremony,Zip Off Wind Jacket,Blue,Blue Multi,XL,Opening Ceremony,619737,1/23/2020,53.40,0.68,available 
Opening Ceremony,Zip Off Wind Jacket,Blue,Blue Multi,M,Opening Ceremony,619737,1/23/2020,53.40,0.68,available 
Opening Ceremony,Zip Off Wind Jacket,Navy,Black Multi,S,Opening Ceremony,619737,1/23/2020,53.40,0.68,available 
Opening Ceremony,Zip Off Wind Jacket,Navy,Black Multi,M,Opening Ceremony,619737,1/23/2020,53.40,0.68,available 
Opening Ceremony,Nylon Hybrid Hoodie,Black,Black Multi,S,Opening Ceremony,619737,1/23/2020,53.40,0.68,available 
Opening Ceremony,Tailoring Warm-Up Jacket,Pink,Natural,S,Opening Ceremony,619737,1/23/2020,49.80,0.68,available 
Opening Ceremony,Tailoring Warm-Up Jacket,Grey,Charcoal,S,Opening Ceremony,619737,1/23/2020,49.80,0.68,available 
Opening Ceremony,Tailoring Warm-Up Jacket,Grey,Charcoal,M,Opening Ceremony,619737,1/23/2020,49.80,0.68,available 
Opening Ceremony,Tailoring Warm-Up Jacket,Grey,Charcoal,L,Opening Ceremony,619737,1/23/2020,49.80,0.68,available 
Opening Ceremony,Long Sleeve Mix Argyle Sweater,Beige,Black Multi,M,Opening Ceremony,619737,1/23/2020,71.40,0.68,available 
Opening Ceremony,Elastic Logo Sweatpant,Grey,Heather Grey,S,Opening Ceremony,619737,1/23/2020,63.00,0.68,available 
Opening Ceremony,Elastic Logo Sweatpant,Grey,Heather Grey,M,Opening Ceremony,619737,1/23/2020,63.00,0.68,available 
Opening Ceremony,Elastic Logo Sweatpant,Grey,Heather Grey,L,Opening Ceremony,619737,1/23/2020,63.00,0.68,available 
Opening Ceremony,Unisex Long Sleeve Rugby Tee,White,White Multi,S,Opening Ceremony,619737,1/23/2020,31.80,0.68,available 
Nothin Special,Crazy Best Tee,Navy,Navy,S,Opening Ceremony,619737,1/23/2020,10.80,0.68,available 
Nothin Special,Crazy Best Tee,Navy,Navy,M,Opening Ceremony,619737,1/23/2020,10.80,0.68,available 
Nothin Special,Presidente Can Tee,Black,Black,S,Opening Ceremony,619737,1/23/2020,10.80,0.68,available 
Nothin Special,Presidente Can Tee,Black,Black,M,Opening Ceremony,619737,1/23/2020,10.80,0.68,available 
Nothin Special,Logo Long Sleeve Tee,Beige,Sand,S,Opening Ceremony,619737,1/23/2020,13.20,0.68,available 
