title,subtitle,color,supplier_color,size,supplier,supplier_order_id,order_date,cost,supplier_shipping_cost,status
Rhude,Cowboy Hawaiian Shirt,White,White - Multi,M,247 Showroom,10272,44044,198,11.25,available
Rhude,Cowboy Hawaiian Shirt,White,White - Multi,L,247 Showroom,10272,44044,198,11.25,available
Rhude,Nylon Pants,Black,Black & Green,M,247 Showroom,10272,44044,270,11.25,available
Rhude,Sweetwater Tee,Black,Black,S,247 Showroom,10272,44044,80,11.25,available
Rhude,Sweetwater Tee,Black,Black,M,247 Showroom,10272,44044,80,11.25,available
Rhude,Cowboy Shark Tee,Black,Black,XL,247 Showroom,10272,44044,82,11.25,available
Rhude,Girl Compass Tee,Black,Black,S,247 Showroom,10272,44044,82,11.25,available
Rhude,Girl Compass Tee,Black,Black,M,247 Showroom,10272,44044,82,11.25,available
