title,subtitle,color,supplier_color,category,sub_category,meta_category,image_remote_url
Gucci,Embroidered Satin Shirt,Red,Red,Tops,Button-downs,Satin Summer Shirt,
Supreme,Piping Track Jacket,Blue,Teal,Jackets & Coats,Track Jackets,Solid Track Jacket,https://image.goat.com/crop/2200/attachments/product_template_additional_pictures/images/033/652/785/original/587183_01.jpg.jpeg?1583266798
Supreme,S Logo Track Jacket,Yellow,Yellow,Jackets & Coats,Track Jackets,Solid Track Jacket,
Dolce & Gabbana,Floral Print Polo Shirt,Black,Black,Tops,Button-downs,Print Polo Shirt,
Vintage Label,Madonna Everybody is a Star Tee,Black,Black,Tops,T-Shirts,Graphic T-Shirt,
Vintage Label,Brushed City Print Shirt,White,White & Black,Tops,Button-downs,Print Button-Down Shirt,
Palace,Reflective Jacket,Grey,Graphite & Silver,Jackets & Coats,Track Jackets,Colorblock Track Jacket,
Enfants Riches Déprimés,Hotel du Cap Hoodie,Black,Black,Sweaters,Hoodies,Logo Hoodie,
