title,subtitle,color,supplier_color,size,supplier,supplier_order_id,order_date,cost,supplier_shipping_cost,status
Eleven Paris,Eleven x A$AP Rocky 'I Am Not A Rapper' Hoodie,Tie-Dye,Red Tie & Dye,XL,Brand Equity Showroom,0,2/18/2020,48,0,available
Eleven Paris,Eleven x A$AP Rocky 'I Am Not A Rapper' Hoodie,Tie-Dye,Red Tie & Dye,L,Brand Equity Showroom,0,2/18/2020,48,0,available
Eleven Paris,Eleven x A$AP Rocky 'I Am Not A Rapper' Hoodie,Tie-Dye,Red Tie & Dye,M,Brand Equity Showroom,0,2/18/2020,48,0,available
Eleven Paris,Eleven x A$AP Rocky 'I Am Not A Rapper' Hoodie,Tie-Dye,Red Tie & Dye,S,Brand Equity Showroom,0,2/18/2020,48,0,available
Eleven Paris,Lawson Woven Short Sleeve Shirt,Grey,Japan Print,XL,Brand Equity Showroom,0,2/18/2020,40,0,available
Eleven Paris,Lawson Woven Short Sleeve Shirt,Grey,Japan Print,L,Brand Equity Showroom,0,2/18/2020,40,0,available
Eleven Paris,Lawson Woven Short Sleeve Shirt,Grey,Japan Print,M,Brand Equity Showroom,0,2/18/2020,40,0,available
Eleven Paris,Lawson Woven Short Sleeve Shirt,Grey,Japan Print,S,Brand Equity Showroom,0,2/18/2020,40,0,available
Eleven Paris,Eleven x Smiley Ladino Knit Hooded Sweatshirt,Beige,Off-White,XL,Brand Equity Showroom,0,2/18/2020,58,0,available
Eleven Paris,Eleven x Smiley Ladino Knit Hooded Sweatshirt,Beige,Off-White,L,Brand Equity Showroom,0,2/18/2020,58,0,available
Eleven Paris,Eleven x Smiley Ladino Knit Hooded Sweatshirt,Beige,Off-White,M,Brand Equity Showroom,0,2/18/2020,58,0,available
Eleven Paris,Eleven x Smiley Ladino Knit Hooded Sweatshirt,Beige,Off-White,S,Brand Equity Showroom,0,2/18/2020,58,0,available
Eleven Paris,Eleven x Playboy Laya Knit Hooded Sweatshirt,White,Tie & Dye,XL,Brand Equity Showroom,0,2/18/2020,60,0,available
Eleven Paris,Eleven x Playboy Laya Knit Hooded Sweatshirt,White,Tie & Dye,L,Brand Equity Showroom,0,2/18/2020,60,0,available
Eleven Paris,Eleven x Playboy Laya Knit Hooded Sweatshirt,White,Tie & Dye,M,Brand Equity Showroom,0,2/18/2020,60,0,available
Eleven Paris,Eleven x Playboy Laya Knit Hooded Sweatshirt,White,Tie & Dye,S,Brand Equity Showroom,0,2/18/2020,60,0,available
Eleven Paris,Eleven x Playboy Levery Knit Hooded Sweatshirt,Black,Black,XL,Brand Equity Showroom,0,2/18/2020,58,0,available
Eleven Paris,Eleven x Playboy Levery Knit Hooded Sweatshirt,Black,Black,L,Brand Equity Showroom,0,2/18/2020,58,0,available
Eleven Paris,Eleven x Playboy Levery Knit Hooded Sweatshirt,Black,Black,M,Brand Equity Showroom,0,2/18/2020,58,0,available
Eleven Paris,Eleven x Playboy Levery Knit Hooded Sweatshirt,Black,Black,S,Brand Equity Showroom,0,2/18/2020,58,0,available
Eleven Paris,Eleven x NASA Laspa Knit Hooded Sweatshirt,White,White,XL,Brand Equity Showroom,0,2/18/2020,58,0,available
